TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.387,0.454,0.122,0.199,0.349
0.279,0.257,0.081,0.122,0.236
0.887,0.906,0.032,0.6,0.498
0.657,0.667,0.07,0.376,0.389
0.25,0.445,0.034,0.138,0.381
0.868,0.882,0.06,0.463,0.691
0.272,0.371,0.031,0.099,0.63
0.873,0.715,0.283,0.708,0.363
0.777,0.715,0.28,0.613,0.358
0.783,0.744,0.105,0.613,0.423
0.353,0.367,0.051,0.132,0.438
0.256,0.256,0.063,0.109,0.25
0.754,0.689,0.171,0.481,0.349
0.552,0.466,0.134,0.341,0.288
0.867,0.664,0.212,0.705,0.33
0.832,0.824,0.128,0.576,0.607
0.848,0.725,0.273,0.689,0.172
0.874,0.806,0.154,0.624,0.571
0.841,0.864,0.051,0.736,0.661
0.532,0.561,0.263,0.35,0.497
0.597,0.571,0.13,0.365,0.495
0.844,0.789,0.227,0.614,0.575
0.679,0.687,0.062,0.404,0.498
0.655,0.707,0.089,0.538,0.447
0.599,0.601,0.063,0.347,0.273
0.547,0.476,0.189,0.35,0.392
0.5,0.497,0.084,0.272,0.375
0.883,0.915,0.038,0.502,0.804
0.472,0.459,0.135,0.279,0.31
0.773,0.777,0.146,0.547,0.422
0.568,0.583,0.06,0.347,0.33
0.819,0.868,0.023,0.632,0.741
0.788,0.742,0.176,0.555,0.443
0.84,0.893,0.009,0.681,0.623
0.727,0.711,0.092,0.51,0.526
0.691,0.559,0.192,0.478,0.119
0.603,0.614,0.11,0.43,0.358
0.284,0.456,0.062,0.152,0.483
0.508,0.594,0.036,0.279,0.614
0.68,0.681,0.225,0.479,0.242
0.285,0.281,0.112,0.131,0.235
0.927,0.84,0.019,0.684,0.627
0.813,0.765,0.195,0.607,0.488
0.932,0.882,0.033,0.567,0.768
0.874,0.797,0.117,0.629,0.508
0.874,0.881,0.056,0.661,0.732
0.893,0.86,0.091,0.591,0.694
0.697,0.701,0.072,0.429,0.456
0.822,0.846,0.037,0.521,0.596
0.783,0.843,0.001,0.627,0.752
0.24,0.272,0.145,0.134,0.301
0.42,0.516,0.138,0.268,0.482
0.45,0.409,0.067,0.224,0.416
0.959,0.788,0.036,0.73,0.73
0.5,0.526,0.083,0.267,0.495
0.758,0.676,0.192,0.47,0.364
0.663,0.641,0.117,0.439,0.524
0.329,0.315,0.203,0.21,0.19
0.381,0.455,0.123,0.158,0.471
0.93,0.78,0.113,0.722,0.657
0.91,0.815,0.145,0.587,0.479
0.892,0.838,0.121,0.638,0.646
0.843,0.809,0.127,0.677,0.572
0.714,0.717,0.0,0.457,0.536
0.669,0.679,0.293,0.494,0.44
0.475,0.531,0.106,0.249,0.398
0.803,0.769,0.127,0.591,0.557
0.778,0.718,0.18,0.574,0.381
0.906,0.74,0.114,0.69,0.55
0.935,0.762,0.061,0.682,0.687
0.639,0.664,0.065,0.405,0.444
0.36,0.335,0.043,0.166,0.322
0.579,0.595,0.102,0.39,0.488
0.313,0.502,0.049,0.14,0.408
0.871,0.819,0.067,0.609,0.703
0.876,0.863,0.081,0.698,0.601
0.65,0.621,0.083,0.495,0.236
0.579,0.556,0.113,0.358,0.244
0.543,0.621,0.044,0.33,0.574
0.46,0.432,0.101,0.257,0.33
0.891,0.843,0.09,0.745,0.661
0.47,0.451,0.081,0.225,0.411
0.896,0.834,0.121,0.737,0.758
0.903,0.838,0.15,0.729,0.651
0.892,0.823,0.101,0.693,0.634
0.822,0.821,0.09,0.572,0.559
0.913,0.854,0.095,0.707,0.574
0.627,0.539,0.282,0.432,0.223
0.385,0.442,0.222,0.224,0.586
0.471,0.516,0.112,0.267,0.69
0.356,0.396,0.266,0.203,0.417
0.712,0.752,0.042,0.478,0.593
0.494,0.477,0.178,0.289,0.41
0.856,0.776,0.265,0.678,0.538
0.78,0.769,0.187,0.585,0.509
0.416,0.38,0.124,0.21,0.229
0.893,0.872,0.074,0.54,0.699
0.288,0.251,0.062,0.126,0.247
0.539,0.544,0.095,0.246,0.636
0.979,0.984,0.078,0.76,0.828
0.66,0.708,0.139,0.544,0.417
0.942,0.764,0.113,0.713,0.533
0.33,0.337,0.038,0.104,0.456
0.518,0.496,0.123,0.235,0.458
