TSSM_MAX,TSSM_MIN,TV,PTPM,BSHG
0.495,0.473,0.295,0.112,0.467
0.914,0.914,0.707,0.018,0.666
0.829,0.815,0.668,0.102,0.706
0.536,0.369,0.213,0.062,0.646
0.713,0.709,0.447,0.131,0.568
0.707,0.654,0.543,0.131,0.393
0.409,0.45,0.224,0.067,0.416
0.729,0.593,0.407,0.129,0.602
0.851,0.846,0.598,0.095,0.596
0.708,0.653,0.53,0.077,0.438
0.426,0.336,0.103,0.023,0.619
0.831,0.861,0.554,0.089,0.649
0.8,0.833,0.561,0.111,0.497
0.333,0.368,0.101,0.02,0.428
0.804,0.751,0.483,0.13,0.514
0.819,0.734,0.467,0.099,0.548
0.53,0.475,0.28,0.085,0.407
0.802,0.836,0.613,0.087,0.569
0.781,0.822,0.631,0.133,0.447
0.707,0.838,0.663,0.338,0.322
0.699,0.765,0.548,0.18,0.413
0.765,0.898,0.723,0.126,0.556
0.607,0.632,0.426,0.095,0.521
0.33,0.327,0.117,0.046,0.462
0.307,0.264,0.108,0.078,0.44
0.763,0.827,0.648,0.116,0.486
0.584,0.664,0.459,0.189,0.398
0.815,0.85,0.543,0.136,0.55
0.771,0.841,0.638,0.182,0.613
0.83,0.884,0.617,0.121,0.697
0.691,0.747,0.476,0.155,0.398
0.703,0.741,0.496,0.065,0.465
0.818,0.895,0.672,0.061,0.666
0.769,0.851,0.601,0.175,0.578
0.665,0.606,0.406,0.127,0.474
0.579,0.582,0.375,0.087,0.324
0.804,0.73,0.449,0.096,0.465
0.878,0.913,0.714,0.069,0.604
0.307,0.282,0.156,0.012,0.559
0.638,0.64,0.454,0.099,0.37
0.839,0.942,0.689,0.036,0.675
0.475,0.475,0.278,0.045,0.587
0.333,0.323,0.132,0.054,0.345
0.847,0.86,0.63,0.061,0.511
