TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG,RENDIMIENTO
11.617,19.779,2.104,14.249,0.431,1.1
11.436,17.607,2.745,13.801,0.342,1.1
10.949,17.653,5.036,13.59,0.359,1.1
11.322,17.385,2.989,13.71,0.367,1.1
11.236,18.107,2.97,13.484,0.374,2.0
11.43,17.68,1.326,13.376,0.397,2.0
11.679,18.708,1.86,13.833,0.398,2.0
11.578,17.872,1.885,13.604,0.407,2.0
11.771,17.555,1.57,13.519,0.403,2.0
12.212,17.665,0.89,13.524,0.388,2.4
11.828,17.844,1.772,13.672,0.382,1.26
11.272,18.45,2.83,13.612,0.369,1.4
11.532,18.038,1.391,14.004,0.366,1.4
11.566,18.335,2.976,13.463,0.373,1.4
12.154,17.962,1.433,13.547,0.405,1.4
12.305,18.804,2.09,13.686,0.355,1.42
11.542,16.911,1.513,12.565,0.371,1.44
17.073,24.579,2.822,18.888,0.34,1.21
17.764,24.024,2.095,19.614,0.25,1.21
16.649,22.509,0.998,18.355,0.356,1.21
16.499,23.69,0.699,18.077,0.341,1.21
16.826,22.759,3.66,18.996,0.316,1.17
16.854,22.759,1.277,18.446,0.327,1.5
17.209,25.509,2.691,18.688,0.411,1.5
17.448,25.654,1.581,19.377,0.397,1.5
17.433,23.769,5.098,19.452,0.331,1.5
16.702,22.932,2.053,18.597,0.335,1.4
16.737,23.234,1.644,18.658,0.33,1.4
17.22,25.068,2.699,19.15,0.432,1.4
16.809,24.846,0.744,18.95,0.335,1.3
17.745,26.652,1.388,18.598,0.411,1.3
17.786,26.054,2.388,19.433,0.377,1.2
17.59,25.267,2.201,19.205,0.387,1.2
16.702,23.467,2.745,18.881,0.33,1.2
17.225,25.102,3.105,19.529,0.408,1.2
16.553,24.179,1.832,18.516,0.3,1.2
17.134,26.386,1.227,18.427,0.476,1.2
17.374,25.06,2.677,19.343,0.284,1.2
17.447,26.238,2.036,18.847,0.4,1.2
21.844,28.558,3.551,24.444,0.339,1.0
21.883,28.867,2.354,25.074,0.319,1.0
21.564,28.424,1.915,24.51,0.327,1.0
21.127,28.008,4.875,24.628,0.349,1.5
21.479,27.742,3.449,24.179,0.309,0.51
21.316,27.504,4.999,24.182,0.308,1.47
22.247,29.309,2.424,23.006,0.415,1.64
22.462,30.008,4.274,23.889,0.386,1.62
21.266,27.423,4.158,23.895,0.298,1.17
21.042,27.82,6.071,24.069,0.28,1.43
21.459,28.44,3.389,23.13,0.348,1.42
21.298,27.893,4.305,23.398,0.318,1.42
21.851,29.413,2.011,21.241,0.373,1.4
22.0,29.018,3.318,23.037,0.362,1.0
22.064,29.143,1.932,22.106,0.406,1.0
21.446,28.2,3.128,23.552,0.359,1.0
21.95,28.944,2.546,22.604,0.386,0.5
22.062,29.029,2.19,22.862,0.4,1.0
23.088,30.533,1.737,20.971,0.388,1.0
22.969,30.493,3.279,23.087,0.367,1.0
22.265,29.333,2.919,22.438,0.359,1.0
21.752,28.57,4.4,23.282,0.359,1.0
22.003,28.78,5.153,23.387,0.348,1.0
21.576,27.872,3.886,23.715,0.272,1.2
22.337,29.426,2.632,23.045,0.377,1.0
22.272,29.053,4.363,24.064,0.324,1.0
18.428,26.147,7.025,21.658,0.297,0.7
18.091,26.581,6.776,21.177,0.315,0.6
18.207,25.191,7.579,20.866,0.279,0.6
17.643,25.41,6.667,20.245,0.256,0.48
18.253,24.913,7.899,20.989,0.222,0.55
18.357,25.935,7.044,21.455,0.283,0.59
18.845,26.088,5.167,21.274,0.33,0.5
19.013,27.106,3.988,21.431,0.315,0.5
18.385,24.731,8.724,21.009,0.217,0.4
17.943,25.389,5.955,20.021,0.293,0.5
18.365,24.977,7.684,20.85,0.252,0.4
18.013,25.687,5.359,21.807,0.24,0.4
18.505,25.866,4.722,22.084,0.287,0.4
18.534,25.074,6.678,21.984,0.291,0.43
18.299,25.961,6.197,22.336,0.285,1.2
18.481,25.285,6.995,22.313,0.246,1.2
18.219,25.409,4.996,22.203,0.242,1.2
18.936,25.754,5.237,22.765,0.246,1.2
18.483,26.217,5.599,22.37,0.317,1.2
18.269,24.792,6.923,22.346,0.248,1.2
18.015,25.007,5.872,21.964,0.238,1.35
18.094,25.054,6.266,22.33,0.24,1.25
17.495,25.181,10.133,22.128,0.196,1.35
17.6,24.948,4.312,22.285,0.188,1.35
18.014,24.966,13.824,22.461,0.175,1.32
17.998,25.205,6.661,22.344,0.25,1.29
24.126,31.848,3.585,24.214,0.434,1.8
24.085,30.837,5.584,27.184,0.35,1.8
23.875,29.395,10.017,27.971,0.375,1.8
24.492,31.713,4.714,26.094,0.431,1.32
3.785,6.706,3.743,7.763,0.154,1.5
3.577,6.722,4.983,7.875,0.173,1.5
2.896,5.983,4.477,7.689,0.12,1.56
3.871,6.522,4.498,8.363,0.097,1.56
3.837,6.389,4.226,8.045,0.136,1.7
3.525,6.828,2.869,8.045,0.172,2.5
4.592,7.595,3.792,8.562,0.174,2.0
3.457,5.993,6.02,8.075,0.108,1.5
3.973,6.688,3.873,8.176,0.102,1.5
12.869,20.735,10.988,16.794,0.25,0.98
12.909,21.208,6.769,15.998,0.265,0.71
12.595,20.04,6.506,14.3,0.232,1.0
12.818,19.437,9.846,15.073,0.171,1.05
12.775,20.009,6.264,14.727,0.224,0.7
13.106,20.303,7.646,15.468,0.227,1.01
12.759,21.637,4.565,14.254,0.344,0.94
13.326,22.011,4.838,15.447,0.265,0.96
12.531,20.283,6.371,14.575,0.212,0.82
12.876,20.076,7.943,15.675,0.196,0.57
12.604,20.35,6.147,14.926,0.257,0.74
13.111,20.099,6.767,15.336,0.192,0.98
12.57,21.204,4.006,13.977,0.29,1.0
13.201,20.962,5.586,15.837,0.22,1.0
